date,price
1953-01,26.70
1953-02,26.16
1953-03,25.64
1953-04,25.12
1953-05,24.62
1953-06,24.12
1953-07,23.64
1953-08,23.17
1953-09,22.70
1953-10,23.28
1953-11,23.88
1953-12,24.49
1954-01,25.11
1954-02,25.75
1954-03,26.41
1954-04,27.09
1954-05,27.78
1954-06,28.49
1954-07,29.22
1954-08,29.96
1954-09,30.73
1954-10,31.51
1954-11,32.32
1954-12,33.15
1955-01,33.99
1955-02,34.86
1955-03,35.75
1955-04,36.67
1955-05,37.60
1955-06,38.57
1955-07,39.55
1955-08,40.56
1955-09,41.60
1955-10,42.66
1955-11,43.75
1955-12,44.87
1956-01,46.02
1956-02,47.19
1956-03,48.40
1956-04,47.85
1956-05,47.30
1956-06,46.76
1956-07,46.22
1956-08,45.70
1956-09,45.17
1956-10,44.66
1956-11,44.15
1956-12,43.64
1957-01,43.14
1957-02,42.65
1957-03,42.16
1957-04,41.68
1957-05,41.20
1957-06,40.73
1957-07,40.27
1957-08,39.81
1957-09,39.35
1957-10,38.90
1957-11,39.68
1957-12,40.48
1958-01,41.29
1958-02,42.11
1958-03,42.96
1958-04,43.82
1958-05,44.70
1958-06,45.59
1958-07,46.51
1958-08,47.44
1958-09,48.39
1958-10,49.36
1958-11,50.35
1958-12,51.36
1959-01,52.39
1959-02,53.44
1959-03,54.51
1959-04,55.61
1959-05,56.72
1959-06,57.86
1959-07,59.02
1959-08,60.20
1959-09,59.63
1959-10,59.07
1959-11,58.51
1959-12,57.95
1960-01,57.41
1960-02,56.86
1960-03,56.33
1960-04,55.79
1960-05,55.26
1960-06,54.74
1960-07,54.22
1960-08,53.71
1960-09,53.20
1960-10,52.70
1960-11,53.92
1960-12,55.17
1961-01,56.44
1961-02,57.75
1961-03,59.09
1961-04,60.46
1961-05,61.85
1961-06,63.29
1961-07,64.75
1961-08,66.25
1961-09,67.78
1961-10,69.35
1961-11,70.96
1961-12,72.60
1962-01,68.74
1962-02,65.08
1962-03,61.62
1962-04,58.34
1962-05,55.24
1962-06,52.30
1962-07,53.00
1962-08,53.72
1962-09,54.44
1962-10,55.17
1962-11,55.91
1962-12,56.66
1963-01,57.42
1963-02,58.19
1963-03,58.98
1963-04,59.77
1963-05,60.57
1963-06,61.39
1963-07,62.21
1963-08,63.05
1963-09,63.89
1963-10,64.75
1963-11,65.62
1963-12,66.51
1964-01,67.40
1964-02,68.30
1964-03,69.22
1964-04,70.15
1964-05,71.10
1964-06,72.05
1964-07,73.02
1964-08,74.00
1964-09,75.00
1964-10,76.00
1964-11,77.02
1964-12,78.06
1965-01,79.11
1965-02,80.17
1965-03,81.25
1965-04,82.34
1965-05,83.45
1965-06,84.57
1965-07,85.71
1965-08,86.86
1965-09,88.02
1965-10,89.21
1965-11,90.41
1965-12,91.62
1966-01,92.85
1966-02,94.10
1966-03,91.19
1966-04,88.37
1966-05,85.64
1966-06,82.99
1966-07,80.43
1966-08,77.94
1966-09,75.53
1966-10,73.20
1966-11,74.31
1966-12,75.44
1967-01,76.59
1967-02,77.76
1967-03,78.94
1967-04,80.14
1967-05,81.36
1967-06,82.60
1967-07,83.86
1967-08,85.13
1967-09,86.43
1967-10,87.74
1967-11,89.08
1967-12,90.43
1968-01,91.81
1968-02,93.21
1968-03,94.62
1968-04,96.06
1968-05,97.53
1968-06,99.01
1968-07,100.52
1968-08,102.05
1968-09,103.60
1968-10,105.17
1968-11,106.78
1968-12,108.40
1969-01,105.74
1969-02,103.14
1969-03,100.61
1969-04,98.14
1969-05,95.73
1969-06,93.38
1969-07,91.09
1969-08,88.85
1969-09,86.67
1969-10,84.54
1969-11,82.47
1969-12,80.44
1970-01,78.47
1970-02,76.54
1970-03,74.66
1970-04,72.83
1970-05,71.04
1970-06,69.30
1970-07,70.54
1970-08,71.81
1970-09,73.09
1970-10,74.40
1970-11,75.74
1970-12,77.09
1971-01,78.48
1971-02,79.88
1971-03,81.31
1971-04,82.77
1971-05,84.26
1971-06,85.77
1971-07,87.30
1971-08,88.87
1971-09,90.46
1971-10,92.08
1971-11,93.73
1971-12,95.41
1972-01,97.12
1972-02,98.86
1972-03,100.64
1972-04,102.44
1972-05,104.28
1972-06,106.14
1972-07,108.05
1972-08,109.98
1972-09,111.96
1972-10,113.96
1972-11,116.00
1972-12,118.08
1973-01,120.20
1973-02,116.31
1973-03,112.55
1973-04,108.92
1973-05,105.40
1973-06,101.99
1973-07,98.69
1973-08,95.50
1973-09,92.41
1973-10,89.43
1973-11,86.54
1973-12,83.74
1974-01,81.03
1974-02,78.41
1974-03,75.88
1974-04,73.42
1974-05,71.05
1974-06,68.75
1974-07,66.53
1974-08,64.38
1974-09,62.30
1974-10,63.74
1974-11,65.21
1974-12,66.72
1975-01,68.26
1975-02,69.84
1975-03,71.45
1975-04,73.10
1975-05,74.79
1975-06,76.52
1975-07,78.29
1975-08,80.10
1975-09,81.95
1975-10,83.84
1975-11,85.78
1975-12,87.76
1976-01,89.79
1976-02,91.87
1976-03,93.99
1976-04,96.16
1976-05,98.39
1976-06,100.66
1976-07,102.99
1976-08,105.37
1976-09,107.80
1976-10,106.52
1976-11,105.25
1976-12,104.00
1977-01,102.76
1977-02,101.54
1977-03,100.33
1977-04,99.13
1977-05,97.95
1977-06,96.79
1977-07,95.64
1977-08,94.50
1977-09,93.37
1977-10,92.26
1977-11,91.16
1977-12,90.08
1978-01,89.01
1978-02,87.95
1978-03,86.90
1978-04,88.22
1978-05,89.57
1978-06,90.93
1978-07,92.32
1978-08,93.73
1978-09,95.16
1978-10,96.61
1978-11,98.08
1978-12,99.57
1979-01,101.09
1979-02,102.63
1979-03,104.19
1979-04,105.78
1979-05,107.39
1979-06,109.03
1979-07,110.69
1979-08,112.38
1979-09,114.09
1979-10,115.83
1979-11,117.60
1979-12,119.39
1980-01,121.21
1980-02,123.06
1980-03,124.93
1980-04,126.83
1980-05,128.77
1980-06,130.73
1980-07,132.72
1980-08,134.75
1980-09,136.80
1980-10,138.88
1980-11,141.00
1980-12,138.87
1981-01,136.77
1981-02,134.70
1981-03,132.67
1981-04,130.66
1981-05,128.68
1981-06,126.74
1981-07,124.82
1981-08,122.94
1981-09,121.08
1981-10,119.25
1981-11,117.45
1981-12,115.67
1982-01,113.92
1982-02,112.20
1982-03,110.50
1982-04,108.83
1982-05,107.19
1982-06,105.57
1982-07,103.97
1982-08,102.40
1982-09,106.03
1982-10,109.78
1982-11,113.67
1982-12,117.70
1983-01,121.87
1983-02,126.18
1983-03,130.65
1983-04,135.28
1983-05,140.07
1983-06,145.03
1983-07,150.17
1983-08,155.49
1983-09,160.99
1983-10,166.70
1983-11,172.60
1983-12,169.29
1984-01,166.03
1984-02,162.85
1984-03,159.72
1984-04,156.65
1984-05,153.64
1984-06,150.69
1984-07,147.80
1984-08,151.13
1984-09,154.53
1984-10,158.01
1984-11,161.56
1984-12,165.20
1985-01,168.92
1985-02,172.72
1985-03,176.61
1985-04,180.59
1985-05,184.65
1985-06,188.81
1985-07,193.06
1985-08,197.40
1985-09,201.85
1985-10,206.39
1985-11,211.04
1985-12,215.79
1986-01,220.64
1986-02,225.61
1986-03,230.69
1986-04,235.88
1986-05,241.19
1986-06,246.62
1986-07,252.17
1986-08,257.85
1986-09,263.65
1986-10,269.59
1986-11,275.65
1986-12,281.86
1987-01,288.20
1987-02,294.69
1987-03,301.32
1987-04,308.11
1987-05,315.04
1987-06,322.13
1987-07,329.39
1987-08,336.80
1987-09,304.12
1987-10,274.61
1987-11,247.96
1987-12,223.90
1988-01,227.54
1988-02,231.23
1988-03,234.98
1988-04,238.80
1988-05,242.68
1988-06,246.62
1988-07,250.62
1988-08,254.69
1988-09,258.83
1988-10,263.03
1988-11,267.30
1988-12,271.64
1989-01,276.05
1989-02,280.54
1989-03,285.09
1989-04,289.72
1989-05,294.42
1989-06,299.21
1989-07,304.06
1989-08,309.00
1989-09,314.02
1989-10,319.12
1989-11,324.30
1989-12,329.57
1990-01,334.92
1990-02,340.35
1990-03,345.88
1990-04,351.50
1990-05,357.21
1990-06,363.01
1990-07,368.90
1990-08,342.60
1990-09,318.18
1990-10,295.50
1990-11,299.14
1990-12,302.83
1991-01,306.57
1991-02,310.35
1991-03,314.18
1991-04,318.05
1991-05,321.97
1991-06,325.95
1991-07,329.97
1991-08,334.04
1991-09,338.16
1991-10,342.33
1991-11,346.55
1991-12,350.82
1992-01,355.15
1992-02,359.53
1992-03,363.96
1992-04,368.45
1992-05,373.00
1992-06,377.60
1992-07,382.25
1992-08,386.97
1992-09,391.74
1992-10,396.57
1992-11,401.46
1992-12,406.41
1993-01,411.43
1993-02,416.50
1993-03,421.64
1993-04,426.84
1993-05,432.10
1993-06,437.43
1993-07,442.83
1993-08,448.29
1993-09,453.82
1993-10,459.41
1993-11,465.08
1993-12,470.82
1994-01,476.62
1994-02,482.50
1994-03,472.65
1994-04,463.01
1994-05,453.56
1994-06,444.30
1994-07,450.59
1994-08,456.97
1994-09,463.44
1994-10,470.00
1994-11,476.66
1994-12,483.41
1995-01,490.25
1995-02,497.19
1995-03,504.23
1995-04,511.37
1995-05,518.62
1995-06,525.96
1995-07,533.41
1995-08,540.96
1995-09,548.62
1995-10,556.39
1995-11,564.26
1995-12,572.25
1996-01,580.36
1996-02,588.57
1996-03,596.91
1996-04,605.36
1996-05,613.93
1996-06,622.62
1996-07,631.44
1996-08,640.38
1996-09,649.45
1996-10,658.65
1996-11,667.97
1996-12,677.43
1997-01,687.02
1997-02,696.75
1997-03,706.61
1997-04,716.62
1997-05,726.77
1997-06,737.06
1997-07,747.49
1997-08,758.08
1997-09,768.81
1997-10,779.70
1997-11,790.74
1997-12,801.93
1998-01,813.29
1998-02,824.81
1998-03,836.48
1998-04,848.33
1998-05,860.34
1998-06,872.52
1998-07,884.88
1998-08,897.41
1998-09,910.11
1998-10,923.00
1998-11,950.76
1998-12,979.36
1999-01,1008.81
1999-02,1039.15
1999-03,1070.41
1999-04,1102.60
1999-05,1135.76
1999-06,1169.92
1999-07,1205.11
1999-08,1241.35
1999-09,1278.69
1999-10,1317.15
1999-11,1356.76
1999-12,1397.57
2000-01,1439.60
2000-02,1482.90
2000-03,1527.50
2000-04,1494.96
2000-05,1463.11
2000-06,1431.94
2000-07,1401.43
2000-08,1371.58
2000-09,1342.36
2000-10,1313.76
2000-11,1285.77
2000-12,1258.38
2001-01,1231.57
2001-02,1205.33
2001-03,1179.65
2001-04,1154.52
2001-05,1129.93
2001-06,1105.86
2001-07,1082.30
2001-08,1059.24
2001-09,1036.67
2001-10,1014.59
2001-11,992.97
2001-12,971.82
2002-01,951.12
2002-02,930.85
2002-03,911.02
2002-04,891.61
2002-05,872.62
2002-06,854.03
2002-07,835.83
2002-08,818.03
2002-09,800.60
2002-10,809.45
2002-11,818.39
2002-12,827.44
2003-01,836.58
2003-02,845.83
2003-03,855.17
2003-04,864.62
2003-05,874.18
2003-06,883.84
2003-07,893.61
2003-08,903.48
2003-09,913.46
2003-10,923.56
2003-11,933.77
2003-12,944.08
2004-01,954.52
2004-02,965.07
2004-03,975.73
2004-04,986.51
2004-05,997.42
2004-06,1008.44
2004-07,1019.58
2004-08,1030.85
2004-09,1042.24
2004-10,1053.76
2004-11,1065.40
2004-12,1077.18
2005-01,1089.08
2005-02,1101.12
2005-03,1113.28
2005-04,1125.59
2005-05,1138.03
2005-06,1150.60
2005-07,1163.32
2005-08,1176.17
2005-09,1189.17
2005-10,1202.31
2005-11,1215.60
2005-12,1229.03
2006-01,1242.61
2006-02,1256.35
2006-03,1270.23
2006-04,1284.27
2006-05,1298.46
2006-06,1312.81
2006-07,1327.32
2006-08,1341.98
2006-09,1356.81
2006-10,1371.81
2006-11,1386.97
2006-12,1402.30
2007-01,1417.79
2007-02,1433.46
2007-03,1449.30
2007-04,1465.32
2007-05,1481.51
2007-06,1497.88
2007-07,1514.44
2007-08,1531.17
2007-09,1548.09
2007-10,1565.20
2007-11,1489.91
2007-12,1418.24
2008-01,1350.01
2008-02,1285.07
2008-03,1223.25
2008-04,1164.41
2008-05,1108.40
2008-06,1055.08
2008-07,1004.32
2008-08,956.01
2008-09,910.02
2008-10,866.25
2008-11,824.58
2008-12,784.91
2009-01,747.15
2009-02,711.21
2009-03,677.00
2009-04,685.37
2009-05,693.84
2009-06,702.42
2009-07,711.11
2009-08,719.90
2009-09,728.80
2009-10,737.81
2009-11,746.94
2009-12,756.17
2010-01,765.52
2010-02,774.99
2010-03,784.57
2010-04,794.27
2010-05,804.09
2010-06,814.03
2010-07,824.10
2010-08,834.29
2010-09,844.60
2010-10,855.04
2010-11,865.62
2010-12,876.32
2011-01,887.15
2011-02,898.12
2011-03,909.23
2011-04,920.47
2011-05,931.85
2011-06,943.37
2011-07,955.04
2011-08,966.84
2011-09,978.80
2011-10,990.90
2011-11,1003.15
2011-12,1015.56
2012-01,1028.11
2012-02,1040.82
2012-03,1053.69
2012-04,1066.72
2012-05,1079.91
2012-06,1093.26
2012-07,1106.78
2012-08,1120.47
2012-09,1134.32
2012-10,1148.34
2012-11,1162.54
2012-12,1176.92
2013-01,1191.47
2013-02,1206.20
2013-03,1221.11
2013-04,1236.21
2013-05,1251.50
2013-06,1266.97
2013-07,1282.64
2013-08,1298.50
2013-09,1314.55
2013-10,1330.80
2013-11,1347.26
2013-12,1363.92
2014-01,1380.78
2014-02,1397.85
2014-03,1415.14
2014-04,1432.63
2014-05,1450.35
2014-06,1468.28
2014-07,1486.43
2014-08,1504.81
2014-09,1523.42
2014-10,1542.25
2014-11,1561.32
2014-12,1580.63
2015-01,1600.17
2015-02,1619.96
2015-03,1639.99
2015-04,1660.26
2015-05,1680.79
2015-06,1701.57
2015-07,1722.61
2015-08,1743.91
2015-09,1765.47
2015-10,1787.30
2015-11,1809.40
2015-12,1831.77
2016-01,1854.42
2016-02,1877.35
2016-03,1900.56
2016-04,1924.06
2016-05,1947.85
2016-06,1971.93
2016-07,1996.32
2016-08,2021.00
2016-09,2045.99
2016-10,2071.28
2016-11,2096.89
2016-12,2122.82
2017-01,2149.07
2017-02,2175.64
2017-03,2202.54
2017-04,2229.77
2017-05,2257.34
2017-06,2285.25
2017-07,2313.51
2017-08,2342.11
2017-09,2371.07
2017-10,2400.39
2017-11,2430.07
2017-12,2460.11
2018-01,2490.53
2018-02,2521.33
2018-03,2552.50
2018-04,2584.06
2018-05,2616.01
2018-06,2648.35
2018-07,2681.10
2018-08,2714.25
2018-09,2747.81
2018-10,2781.78
2018-11,2816.18
2018-12,2851.00
2019-01,2886.25
2019-02,2921.94
2019-03,2958.06
2019-04,2994.64
2019-05,3031.66
2019-06,3069.15
2019-07,3107.10
2019-08,3145.51
2019-09,3184.41
2019-10,3223.78
2019-11,3263.64
2019-12,3303.99
2020-01,3344.84
2020-02,3386.20
2020-03,2237.40
2020-04,2316.32
2020-05,2398.03
2020-06,2482.62
2020-07,2570.20
2020-08,2660.86
2020-09,2754.72
2020-10,2851.90
2020-11,2952.50
2020-12,3056.65
2021-01,3164.47
2021-02,3276.10
2021-03,3391.66
2021-04,3511.30
2021-05,3635.16
2021-06,3763.39
2021-07,3896.15
2021-08,4033.58
2021-09,4175.87
2021-10,4323.17
2021-11,4475.67
2021-12,4633.55
2022-01,4797.00
2022-02,4643.11
2022-03,4494.15
2022-04,4349.97
2022-05,4210.42
2022-06,4075.34
2022-07,3944.60
2022-08,3818.05
2022-09,3695.56
2022-10,3577.00
2022-11,3649.57
2022-12,3723.61
2023-01,3799.16
2023-02,3876.23
2023-03,3954.87
2023-04,4035.11
2023-05,4116.97
2023-06,4200.50
2023-07,4285.72
2023-08,4372.67
2023-09,4461.38
2023-10,4551.89
2023-11,4644.24
2023-12,4738.46
2024-01,4834.59
2024-02,4932.68
2024-03,5032.75
2024-04,5134.86
2024-05,5239.03
2024-06,5345.32
2024-07,5453.77
2024-08,5564.41
2024-09,5677.30
2024-10,5792.48
2024-11,5910.00
2024-12,5871.87
2025-01,5833.98
2025-02,5796.34
2025-03,5758.94
2025-04,5721.78
2025-05,5684.87
2025-06,5648.19
2025-07,5611.74
2025-08,5575.54
2025-09,5539.56
2025-10,5503.82
2025-11,5468.31
2025-12,5433.03
2026-01,5397.97
2026-02,5363.14
2026-03,5328.54
2026-04,5294.16
2026-05,5260.00
