date,cpi
1971-05-01,40.5
1971-06-01,40.6
1971-07-01,40.7
1971-08-01,40.8
1971-09-01,40.9
1971-10-01,41.0
1971-11-01,41.0
1971-12-01,41.1
1972-01-01,41.1
1972-02-01,41.2
1972-03-01,41.3
1972-04-01,41.4
1972-05-01,41.5
1972-06-01,41.7
1972-07-01,41.8
1972-08-01,41.9
1972-09-01,42.0
1972-10-01,42.2
1972-11-01,42.4
1972-12-01,42.5
1973-01-01,42.6
1973-02-01,42.9
1973-03-01,43.2
1973-04-01,43.5
1973-05-01,43.9
1973-06-01,44.2
1973-07-01,44.8
1973-08-01,45.4
1973-09-01,46.0
1973-10-01,46.6
1973-11-01,47.2
1973-12-01,47.8
1974-01-01,48.5
1974-02-01,49.0
1974-03-01,49.5
1974-04-01,50.0
1974-05-01,50.5
1974-06-01,50.9
1974-07-01,51.7
1974-08-01,52.5
1974-09-01,53.2
1974-10-01,54.0
1974-11-01,54.8
1974-12-01,55.5
1975-01-01,55.5
1975-02-01,55.4
1975-03-01,55.3
1975-04-01,55.2
1975-05-01,55.0
1975-06-01,54.9
1975-07-01,55.0
1975-08-01,55.1
1975-09-01,55.2
1975-10-01,55.3
1975-11-01,55.4
1975-12-01,55.5
1976-01-01,55.6
1976-02-01,55.8
1976-03-01,56.0
1976-04-01,56.3
1976-05-01,56.5
1976-06-01,56.8
1976-07-01,57.0
1976-08-01,57.2
1976-09-01,57.5
1976-10-01,57.7
1976-11-01,58.0
1976-12-01,58.2
1977-01-01,58.5
1977-02-01,58.9
1977-03-01,59.4
1977-04-01,59.8
1977-05-01,60.2
1977-06-01,60.7
1977-07-01,60.9
1977-08-01,61.1
1977-09-01,61.4
1977-10-01,61.6
1977-11-01,61.9
1977-12-01,62.1
1978-01-01,62.5
1978-02-01,63.0
1978-03-01,63.5
1978-04-01,64.1
1978-05-01,64.7
1978-06-01,65.2
1978-07-01,65.6
1978-08-01,66.0
1978-09-01,66.4
1978-10-01,66.8
1978-11-01,67.2
1978-12-01,67.7
1979-01-01,68.3
1979-02-01,69.1
1979-03-01,69.9
1979-04-01,70.7
1979-05-01,71.5
1979-06-01,72.3
1979-07-01,73.0
1979-08-01,73.7
1979-09-01,74.5
1979-10-01,75.2
1979-11-01,76.0
1979-12-01,76.7
1980-01-01,77.8
1980-02-01,78.8
1980-03-01,79.8
1980-04-01,80.8
1980-05-01,81.8
1980-06-01,82.7
1980-07-01,83.3
1980-08-01,83.9
1980-09-01,84.5
1980-10-01,85.1
1980-11-01,85.7
1980-12-01,86.3
1981-01-01,87.0
1981-02-01,87.7
1981-03-01,88.4
1981-04-01,89.1
1981-05-01,89.8
1981-06-01,90.6
1981-07-01,91.2
1981-08-01,91.8
1981-09-01,92.3
1981-10-01,92.9
1981-11-01,93.5
1981-12-01,94.0
1982-01-01,94.3
1982-02-01,94.8
1982-03-01,95.3
1982-04-01,95.9
1982-05-01,96.5
1982-06-01,97.0
1982-07-01,97.1
1982-08-01,97.2
1982-09-01,97.3
1982-10-01,97.4
1982-11-01,97.5
1982-12-01,97.6
1983-01-01,97.8
1983-02-01,98.1
1983-03-01,98.4
1983-04-01,98.8
1983-05-01,99.2
1983-06-01,99.5
1983-07-01,99.8
1983-08-01,100.1
1983-09-01,100.4
1983-10-01,100.7
1983-11-01,101.0
1983-12-01,101.3
1984-01-01,101.9
1984-02-01,102.3
1984-03-01,102.7
1984-04-01,103.0
1984-05-01,103.3
1984-06-01,103.7
1984-07-01,104.0
1984-08-01,104.3
1984-09-01,104.5
1984-10-01,104.8
1984-11-01,105.0
1984-12-01,105.3
1985-01-01,105.5
1985-02-01,105.9
1985-03-01,106.3
1985-04-01,106.7
1985-05-01,107.2
1985-06-01,107.6
1985-07-01,107.9
1985-08-01,108.2
1985-09-01,108.5
1985-10-01,108.8
1985-11-01,109.0
1985-12-01,109.3
1986-01-01,109.6
1986-02-01,109.6
1986-03-01,109.6
1986-04-01,109.6
1986-05-01,109.5
1986-06-01,109.5
1986-07-01,109.7
1986-08-01,109.9
1986-09-01,110.1
1986-10-01,110.2
1986-11-01,110.3
1986-12-01,110.5
1987-01-01,111.2
1987-02-01,111.7
1987-03-01,112.2
1987-04-01,112.6
1987-05-01,113.0
1987-06-01,113.5
1987-07-01,113.8
1987-08-01,114.1
1987-09-01,114.4
1987-10-01,114.7
1987-11-01,115.1
1987-12-01,115.4
1988-01-01,115.7
1988-02-01,116.3
1988-03-01,116.8
1988-04-01,117.4
1988-05-01,118.0
1988-06-01,118.5
1988-07-01,118.8
1988-08-01,119.1
1988-09-01,119.4
1988-10-01,119.8
1988-11-01,120.2
1988-12-01,120.5
1989-01-01,121.1
1989-02-01,121.7
1989-03-01,122.3
1989-04-01,122.9
1989-05-01,123.5
1989-06-01,124.1
1989-07-01,124.4
1989-08-01,124.7
1989-09-01,125.0
1989-10-01,125.4
1989-11-01,125.8
1989-12-01,126.1
1990-01-01,127.4
1990-02-01,127.9
1990-03-01,128.4
1990-04-01,128.9
1990-05-01,129.4
1990-06-01,129.9
1990-07-01,130.6
1990-08-01,131.2
1990-09-01,131.8
1990-10-01,132.5
1990-11-01,133.2
1990-12-01,133.8
1991-01-01,134.6
1991-02-01,134.9
1991-03-01,135.2
1991-04-01,135.5
1991-05-01,135.8
1991-06-01,136.0
1991-07-01,136.3
1991-08-01,136.6
1991-09-01,136.9
1991-10-01,137.2
1991-11-01,137.6
1991-12-01,137.9
1992-01-01,138.1
1992-02-01,138.5
1992-03-01,138.9
1992-04-01,139.3
1992-05-01,139.8
1992-06-01,140.2
1992-07-01,140.5
1992-08-01,140.8
1992-09-01,141.1
1992-10-01,141.4
1992-11-01,141.7
1992-12-01,141.9
1993-01-01,142.6
1993-02-01,143.0
1993-03-01,143.3
1993-04-01,143.7
1993-05-01,144.1
1993-06-01,144.4
1993-07-01,144.6
1993-08-01,144.8
1993-09-01,145.1
1993-10-01,145.3
1993-11-01,145.6
1993-12-01,145.8
1994-01-01,146.2
1994-02-01,146.6
1994-03-01,146.9
1994-04-01,147.3
1994-05-01,147.7
1994-06-01,148.0
1994-07-01,148.3
1994-08-01,148.6
1994-09-01,148.9
1994-10-01,149.2
1994-11-01,149.4
1994-12-01,149.7
1995-01-01,150.3
1995-02-01,150.7
1995-03-01,151.1
1995-04-01,151.6
1995-05-01,152.1
1995-06-01,152.5
1995-07-01,152.7
1995-08-01,152.9
1995-09-01,153.1
1995-10-01,153.2
1995-11-01,153.3
1995-12-01,153.5
1996-01-01,154.4
1996-02-01,154.9
1996-03-01,155.3
1996-04-01,155.8
1996-05-01,156.2
1996-06-01,156.7
1996-07-01,157.0
1996-08-01,157.3
1996-09-01,157.6
1996-10-01,157.9
1996-11-01,158.2
1996-12-01,158.6
1997-01-01,159.1
1997-02-01,159.3
1997-03-01,159.6
1997-04-01,159.8
1997-05-01,160.1
1997-06-01,160.3
1997-07-01,160.5
1997-08-01,160.7
1997-09-01,160.8
1997-10-01,161.0
1997-11-01,161.2
1997-12-01,161.3
1998-01-01,161.6
1998-02-01,161.9
1998-03-01,162.2
1998-04-01,162.5
1998-05-01,162.8
1998-06-01,163.0
1998-07-01,163.2
1998-08-01,163.3
1998-09-01,163.5
1998-10-01,163.6
1998-11-01,163.8
1998-12-01,163.9
1999-01-01,164.3
1999-02-01,164.7
1999-03-01,165.1
1999-04-01,165.5
1999-05-01,165.8
1999-06-01,166.2
1999-07-01,166.5
1999-08-01,166.9
1999-09-01,167.2
1999-10-01,167.6
1999-11-01,167.9
1999-12-01,168.3
2000-01-01,168.8
2000-02-01,169.5
2000-03-01,170.2
2000-04-01,170.9
2000-05-01,171.7
2000-06-01,172.4
2000-07-01,172.7
2000-08-01,173.0
2000-09-01,173.2
2000-10-01,173.5
2000-11-01,173.8
2000-12-01,174.0
2001-01-01,175.1
2001-02-01,175.7
2001-03-01,176.3
2001-04-01,176.9
2001-05-01,177.4
2001-06-01,178.0
2001-07-01,177.8
2001-08-01,177.6
2001-09-01,177.4
2001-10-01,177.2
2001-11-01,176.9
2001-12-01,176.7
2002-01-01,177.1
2002-02-01,177.7
2002-03-01,178.2
2002-04-01,178.8
2002-05-01,179.4
2002-06-01,179.9
2002-07-01,180.1
2002-08-01,180.3
2002-09-01,180.5
2002-10-01,180.6
2002-11-01,180.8
2002-12-01,180.9
2003-01-01,181.7
2003-02-01,182.1
2003-03-01,182.5
2003-04-01,182.9
2003-05-01,183.3
2003-06-01,183.7
2003-07-01,183.8
2003-08-01,183.9
2003-09-01,184.0
2003-10-01,184.1
2003-11-01,184.2
2003-12-01,184.3
2004-01-01,185.2
2004-02-01,186.1
2004-03-01,187.0
2004-04-01,187.9
2004-05-01,188.8
2004-06-01,189.7
2004-07-01,189.8
2004-08-01,189.9
2004-09-01,190.0
2004-10-01,190.1
2004-11-01,190.2
2004-12-01,190.3
2005-01-01,190.7
2005-02-01,191.5
2005-03-01,192.2
2005-04-01,193.0
2005-05-01,193.8
2005-06-01,194.5
2005-07-01,194.9
2005-08-01,195.3
2005-09-01,195.7
2005-10-01,196.1
2005-11-01,196.4
2005-12-01,196.8
2006-01-01,198.3
2006-02-01,199.2
2006-03-01,200.1
2006-04-01,201.0
2006-05-01,201.9
2006-06-01,202.9
2006-07-01,202.7
2006-08-01,202.5
2006-09-01,202.3
2006-10-01,202.1
2006-11-01,201.9
2006-12-01,201.8
2007-01-01,202.4
2007-02-01,203.6
2007-03-01,204.8
2007-04-01,206.0
2007-05-01,207.2
2007-06-01,208.4
2007-07-01,208.7
2007-08-01,209.0
2007-09-01,209.2
2007-10-01,209.5
2007-11-01,209.8
2007-12-01,210.0
2008-01-01,211.1
2008-02-01,212.6
2008-03-01,214.2
2008-04-01,215.7
2008-05-01,217.2
2008-06-01,218.8
2008-07-01,217.4
2008-08-01,216.0
2008-09-01,214.6
2008-10-01,213.1
2008-11-01,211.6
2008-12-01,210.2
2009-01-01,211.1
2009-02-01,212.0
2009-03-01,212.9
2009-04-01,213.8
2009-05-01,214.8
2009-06-01,215.7
2009-07-01,215.7
2009-08-01,215.7
2009-09-01,215.8
2009-10-01,215.8
2009-11-01,215.9
2009-12-01,215.9
2010-01-01,216.7
2010-02-01,216.9
2010-03-01,217.1
2010-04-01,217.3
2010-05-01,217.4
2010-06-01,217.6
2010-07-01,217.9
2010-08-01,218.2
2010-09-01,218.4
2010-10-01,218.7
2010-11-01,218.9
2010-12-01,219.2
2011-01-01,220.2
2011-02-01,221.3
2011-03-01,222.4
2011-04-01,223.5
2011-05-01,224.6
2011-06-01,225.7
2011-07-01,225.7
2011-08-01,225.7
2011-09-01,225.7
2011-10-01,225.7
2011-11-01,225.7
2011-12-01,225.7
2012-01-01,226.7
2012-02-01,227.3
2012-03-01,227.9
2012-04-01,228.4
2012-05-01,228.9
2012-06-01,229.5
2012-07-01,229.5
2012-08-01,229.5
2012-09-01,229.5
2012-10-01,229.5
2012-11-01,229.6
2012-12-01,229.6
2013-01-01,230.3
2013-02-01,230.9
2013-03-01,231.6
2013-04-01,232.2
2013-05-01,232.8
2013-06-01,233.5
2013-07-01,233.4
2013-08-01,233.3
2013-09-01,233.2
2013-10-01,233.1
2013-11-01,233.1
2013-12-01,233.0
2014-01-01,233.9
2014-02-01,234.8
2014-03-01,235.7
2014-04-01,236.6
2014-05-01,237.4
2014-06-01,238.3
2014-07-01,237.7
2014-08-01,237.1
2014-09-01,236.5
2014-10-01,235.9
2014-11-01,235.4
2014-12-01,234.8
2015-01-01,233.7
2015-02-01,234.7
2015-03-01,235.7
2015-04-01,236.7
2015-05-01,237.6
2015-06-01,238.6
2015-07-01,238.2
2015-08-01,237.9
2015-09-01,237.6
2015-10-01,237.2
2015-11-01,236.8
2015-12-01,236.5
2016-01-01,236.9
2016-02-01,237.7
2016-03-01,238.5
2016-04-01,239.3
2016-05-01,240.2
2016-06-01,241.0
2016-07-01,241.1
2016-08-01,241.2
2016-09-01,241.2
2016-10-01,241.3
2016-11-01,241.4
2016-12-01,241.4
2017-01-01,242.8
2017-02-01,243.2
2017-03-01,243.6
2017-04-01,244.0
2017-05-01,244.4
2017-06-01,244.9
2017-07-01,245.2
2017-08-01,245.5
2017-09-01,245.8
2017-10-01,246.0
2017-11-01,246.2
2017-12-01,246.5
2018-01-01,247.9
2018-02-01,248.7
2018-03-01,249.5
2018-04-01,250.3
2018-05-01,251.1
2018-06-01,251.9
2018-07-01,251.8
2018-08-01,251.7
2018-09-01,251.6
2018-10-01,251.5
2018-11-01,251.3
2018-12-01,251.2
2019-01-01,251.7
2019-02-01,252.6
2019-03-01,253.5
2019-04-01,254.4
2019-05-01,255.2
2019-06-01,256.1
2019-07-01,256.2
2019-08-01,256.3
2019-09-01,256.4
2019-10-01,256.5
2019-11-01,256.6
2019-12-01,256.6
2020-01-01,257.8
2020-02-01,258.7
2020-03-01,258.1
2020-04-01,256.4
2020-05-01,256.4
2020-06-01,257.8
2020-07-01,259.1
2020-08-01,259.9
2020-09-01,260.3
2020-10-01,260.4
2020-11-01,260.2
2020-12-01,260.5
2021-01-01,261.6
2021-02-01,263.0
2021-03-01,264.9
2021-04-01,267.1
2021-05-01,269.2
2021-06-01,271.7
2021-07-01,273.0
2021-08-01,273.6
2021-09-01,274.3
2021-10-01,276.6
2021-11-01,278.8
2021-12-01,280.1
2022-01-01,281.9
2022-02-01,283.7
2022-03-01,287.5
2022-04-01,289.1
2022-05-01,292.3
2022-06-01,296.3
2022-07-01,296.3
2022-08-01,296.2
2022-09-01,296.8
2022-10-01,298.0
2022-11-01,297.7
2022-12-01,296.8
2023-01-01,299.2
2023-02-01,300.8
2023-03-01,301.8
2023-04-01,303.4
2023-05-01,304.1
2023-06-01,305.1
2023-07-01,305.7
2023-08-01,307.0
2023-09-01,307.8
2023-10-01,307.7
2023-11-01,307.1
2023-12-01,307.0
2024-01-01,308.4
2024-02-01,310.3
2024-03-01,312.2
2024-04-01,313.5
2024-05-01,314.1
2024-06-01,314.2
2024-07-01,314.5
2024-08-01,314.8
2024-09-01,315.3
2024-10-01,315.6
2024-11-01,315.5
2024-12-01,315.6
2025-01-01,317.0
2025-02-01,317.6
2025-03-01,319.8
2025-04-01,320.3
2025-05-01,320.0
2025-06-01,319.5
2025-07-01,319.8
2025-08-01,320.2
2025-09-01,320.5
2025-10-01,321.0
2025-11-01,321.3
2025-12-01,321.5
2026-01-01,322.0
2026-02-01,322.5
2026-03-01,323.1
2026-04-01,323.5
2026-05-01,323.8
